seq	abundance	similarity
SRR3085689.223051	1	3
SRR3085696.45062	1	44
SRR3085688.3	30871	1033
SRR3085696.170974	2	511
SRR3085694.116962	5	2
SRR3085696.91296	1	516
SRR3085692.88250	1	1
SRR3085697.62219	1	39
SRR3085694.148155	1	25
SRR3085697.32453	1	515
SRR3085688.8289	1	0
SRR3085700.16783	8	1
SRR3085692.176779	1	1
SRR3085688.101289	2	60
SRR3085690.149723	1	25
SRR3085695.88944	1	150
SRR3085701.18625	1	0
SRR3085697.65992	1	4
SRR3085692.161656	1	8
SRR3085690.23361	1	36
SRR3085693.18449	1	34
SRR3085688.44532	19	14
SRR3085693.61429	1	10
SRR3085697.2730	1	1
SRR3085693.59234	1	56
SRR3085692.43040	1	0
SRR3085689.68206	5	0
SRR3085690.48204	1	62
SRR3085688.45996	3	16
SRR3085689.212902	1	1
SRR3085698.66301	1	0
SRR3085701.122192	1	0
SRR3085698.28708	1	6
SRR3085701.64495	1	132
SRR3085698.163824	1	225
SRR3085692.193962	1	154
SRR3085697.72257	1	1
SRR3085697.127719	1	150
SRR3085698.163637	1	2063
SRR3085700.120948	1	34
SRR3085690.54406	1	130
SRR3085688.4	1	0
SRR3085695.46922	1	4
SRR3085688.12005	1	18
SRR3085701.39441	4	0
SRR3085689.98274	1	49
SRR3085700.34843	1	152
SRR3085692.170770	1	2
SRR3085701.40206	1	4
SRR3085701.132960	1	2
SRR3085700.132194	1	41
SRR3085701.114600	1	0
SRR3085690.149516	1	0
SRR3085691.157780	1	18
SRR3085692.204187	1	11
SRR3085689.29428	1	88
SRR3085692.171898	1	15
SRR3085690.75035	5	542
SRR3085691.152908	1	0
SRR3085697.76183	1	69
SRR3085689.20358	1	0
SRR3085689.22596	1	3
SRR3085690.94241	1	106
SRR3085697.32991	1	1029
SRR3085689.24696	1	0
SRR3085694.103756	1	1484
SRR3085696.55717	1	0
SRR3085697.3981	1	15
SRR3085696.118882	1	429
SRR3085697.96516	1	9
SRR3085698.28360	1	39
SRR3085698.154611	1	1
SRR3085690.212734	1	7
SRR3085696.64634	1	4172
SRR3085701.3000	3	86
SRR3085692.156641	1	0
SRR3085693.75669	1	671
SRR3085690.114882	1	5
SRR3085695.12400	1	72
SRR3085692.273412	1	31
SRR3085688.94078	1	18
SRR3085695.31450	1	394
SRR3085690.124326	1	1
SRR3085689.164913	3	104
SRR3085694.124	188	7
SRR3085688.71115	1	523
SRR3085688.98287	1	189
SRR3085689.234753	1	2458
SRR3085694.33164	1	4
SRR3085690.37652	1	572
SRR3085689.136313	1	13
SRR3085698.32124	1	11
SRR3085692.173084	2	0
SRR3085701.49855	1	1
SRR3085693.37972	1	194
SRR3085694.85052	1	122
SRR3085691.19212	1	168
SRR3085701.153195	1	4
SRR3085699.4257	59	0
SRR3085696.156823	1	0
SRR3085695.38875	1	525
SRR3085694.81921	1	4
SRR3085701.103173	4	0
SRR3085696.101497	1	2702
SRR3085695.41143	2	401
SRR3085689.18660	1	2
SRR3085697.7997	1	65
SRR3085689.142234	2	0
SRR3085701.96100	30	8
SRR3085688.38378	1	0
SRR3085690.6105	1	57
SRR3085701.61034	1	3
SRR3085688.106674	1	1
SRR3085692.72435	1	63
SRR3085692.102543	1	20
SRR3085688.18498	1	0
SRR3085698.179997	1	141
SRR3085692.139220	1	16
SRR3085689.200327	1	2
SRR3085695.40421	1	4
SRR3085693.45767	1	7
SRR3085691.6678	1	2
SRR3085698.59435	1	374
SRR3085693.121984	1	548
SRR3085698.115118	1	2
SRR3085692.67962	1	4059
SRR3085694.129180	145	12
SRR3085696.96828	1	1
SRR3085695.83007	1	3
SRR3085689.236054	1	153
SRR3085690.190719	1	579
SRR3085698.55612	1	0
SRR3085694.27643	1	3568
SRR3085691.58058	1	30
SRR3085689.67155	1	229
SRR3085691.24352	1	402
SRR3085690.177388	1	2
SRR3085689.144859	1	0
SRR3085693.72390	1	51
SRR3085689.16550	3	1
SRR3085692.35999	1	138
SRR3085700.97801	1	73
SRR3085694.43548	1	3553
SRR3085692.60479	1	228
SRR3085700.86450	1	3
SRR3085690.146172	1	0
SRR3085692.107959	1	425
SRR3085694.4777	1	1
SRR3085698.56547	1	3365
SRR3085697.55632	10	16
SRR3085700.74279	1	4
SRR3085689.194116	1	45
SRR3085691.141636	1	72
SRR3085690.217165	1	0
SRR3085698.105669	1	262
SRR3085693.64393	1	0
SRR3085698.14014	1	0
SRR3085692.221722	1	5
SRR3085701.21372	1	3
SRR3085689.214319	1	100
SRR3085692.177489	1	0
SRR3085700.67142	1	0
SRR3085693.139140	1	448
SRR3085690.75418	1	32
SRR3085696.174022	1	16
SRR3085689.112707	1	3606
SRR3085688.64541	1	4661
SRR3085692.253406	1	0
SRR3085693.96452	4	61
SRR3085701.144146	3	14
SRR3085694.60820	1	1
SRR3085688.59276	1	491
SRR3085696.49476	1	34
SRR3085694.70554	1	2
SRR3085688.98993	1	0
SRR3085689.5547	1	6
SRR3085689.147423	1	23
SRR3085701.8780	3	4
SRR3085696.125353	1	0
SRR3085693.121033	1	0
SRR3085688.27060	1	17
SRR3085694.42033	1	2561
SRR3085689.236365	12	53
SRR3085694.142235	1	1
SRR3085696.14454	1	3
SRR3085696.166453	1	92
SRR3085700.38105	1	2
SRR3085698.37112	1	3372
SRR3085701.82922	1	0
SRR3085692.216072	1	6
SRR3085692.101099	1	28
SRR3085700.34388	1	5
SRR3085700.33386	5	0
SRR3085694.54027	1	0
SRR3085696.172372	1	0
SRR3085691.38495	1	11
SRR3085691.109517	1	434
SRR3085692.227966	1	201
SRR3085697.34959	1	140
SRR3085700.5117	1	2
SRR3085690.25738	1	0
SRR3085700.21589	2	772
SRR3085690.136283	1	197
SRR3085689.132529	1	3
SRR3085696.27810	1	18
SRR3085688.3786	1	42
SRR3085695.122726	1	0
SRR3085690.69783	1	2
SRR3085695.83423	1	556
SRR3085695.3139	7	118
SRR3085698.79682	1	3424
SRR3085697.92723	1	0
SRR3085688.62897	1	5
SRR3085692.200962	1	3
SRR3085690.216270	1	322
SRR3085695.32171	1	9
SRR3085693.39246	1	234
SRR3085688.57634	1	2510
SRR3085689.216451	2	4
SRR3085689.175492	1	5
SRR3085690.78912	1	0
SRR3085691.121	1	711
SRR3085691.106789	1	8
SRR3085689.50083	1	33
SRR3085691.31455	1	239
SRR3085693.100412	1	195
SRR3085694.50839	1	6
SRR3085696.19664	1	2
SRR3085692.107674	1	20
SRR3085690.39351	1	81
SRR3085697.43436	1	10
SRR3085697.11246	1	0
SRR3085697.83199	1	4139
SRR3085688.55528	1	3
SRR3085689.98727	1	11
SRR3085690.113447	1	209
SRR3085688.61897	1	20
SRR3085689.222304	1	0
SRR3085696.167538	1	4054
SRR3085693.33437	1	315
SRR3085690.160737	1	35
SRR3085691.136638	1	6
SRR3085699.55032	1	3
SRR3085689.131311	1	196
SRR3085689.221866	1	355
SRR3085693.121928	1	0
SRR3085693.1778	1	221
SRR3085697.98519	1	79
SRR3085690.117459	1	0
SRR3085693.109678	1	39
SRR3085694.67913	1	0
SRR3085693.43499	1	96
SRR3085690.165725	1	4580
SRR3085698.103	1	45
SRR3085692.158983	1	31
SRR3085695.86079	1	1
SRR3085701.10867	1	0
SRR3085689.109646	1	27
SRR3085700.120233	1	234
SRR3085692.76702	1	12
SRR3085696.182217	2	4645
SRR3085697.98229	1	736
SRR3085689.20652	4	216
SRR3085696.111982	1	49
SRR3085700.34863	1	121
SRR3085699.15052	1	3860
SRR3085690.19251	7	312
SRR3085692.168299	1	0
SRR3085692.227569	1	1
SRR3085697.105010	1	0
SRR3085688.53153	1	162
SRR3085692.108149	1	18
SRR3085691.112153	1	467
SRR3085693.56879	1	0
SRR3085692.107815	2	0
SRR3085695.110431	43	4
SRR3085694.26512	1	1
SRR3085695.61213	1	1
SRR3085696.452	1	45
SRR3085691.164118	1	593
SRR3085690.45318	1	61
SRR3085689.125570	1	260
SRR3085696.132927	1	5
SRR3085696.97272	1	3848
SRR3085694.47038	1	226
SRR3085689.190076	1	1
SRR3085692.230242	1	49
SRR3085688.68436	1	27
SRR3085697.77742	9	3
SRR3085693.137933	1	348
SRR3085689.43333	1	2
SRR3085688.17797	1	17
SRR3085692.105	13185	550
SRR3085689.25526	1	24
SRR3085701.80976	1	112
SRR3085690.38815	1	45
SRR3085688.97370	1	0
SRR3085696.198867	729	49
SRR3085688.99849	1	1
SRR3085689.110145	1	13
SRR3085689.44379	1	2
SRR3085695.24477	1	4248
SRR3085694.106492	1	1
SRR3085696.70063	1	7
SRR3085700.62107	1	49
SRR3085690.83663	1	0
SRR3085696.197	285	19
SRR3085690.190756	1	266
SRR3085700.99021	1	199
SRR3085689.129255	1	33
SRR3085688.81852	2	0
SRR3085701.95912	1	132
SRR3085697.116891	1	0
SRR3085693.82426	1	297
SRR3085689.147262	1	3
SRR3085689.100277	1	60
SRR3085695.7562	1	475
SRR3085697.1951	19	12
SRR3085693.108218	1	2
SRR3085696.49179	1	784
SRR3085690.191228	1	288
SRR3085688.76326	1	97
SRR3085691.134133	1	22
SRR3085690.121951	1	266
SRR3085688.113340	1	1
SRR3085696.87391	1	579
SRR3085690.40463	1	2
SRR3085695.28345	1	4
SRR3085696.151937	1	3
SRR3085692.216873	1	0
SRR3085688.30268	1	223
SRR3085691.152662	1	93
SRR3085699.69281	1	329
SRR3085691.15203	1	4588
SRR3085690.42620	1	70
SRR3085692.9872	1	5
SRR3085698.100651	1	40
SRR3085692.805	1	36
SRR3085690.211820	1	39
SRR3085689.154427	1	231
SRR3085694.54137	1	1050
SRR3085690.132068	1	0
SRR3085694.84431	1	1
SRR3085691.151072	1	76
SRR3085695.34558	1	3032
SRR3085696.109267	1	0
SRR3085697.84296	1	364
SRR3085689.192180	1	227
SRR3085701.58764	1	0
SRR3085695.74838	1	92
SRR3085701.11152	1	22
SRR3085695.62890	1	124
SRR3085690.32204	1	4605
SRR3085694.136980	1	1
SRR3085693.492	1	251
SRR3085689.248551	2	0
SRR3085698.117764	1	229
SRR3085700.72380	1	337
SRR3085689.160915	1	107
SRR3085701.159867	1	435
SRR3085692.295997	1	581
SRR3085698.154412	1	1168
SRR3085693.234	1	15
SRR3085690.120738	1	1
SRR3085692.275902	1	0
SRR3085694.57762	1	3
SRR3085694.19464	1	19
SRR3085688.33919	1	560
SRR3085689.20264	1	0
SRR3085698.576	1	0
SRR3085688.67378	1	0
SRR3085694.55888	1	2
SRR3085695.18257	2	2
SRR3085694.157300	1	324
SRR3085692.82820	1	14
SRR3085688.41878	1	0
SRR3085692.156443	1	6
SRR3085690.20897	1	1696
SRR3085692.212511	1	346
SRR3085692.121517	1	2
SRR3085688.105860	4	6
SRR3085693.42418	1	111
SRR3085689.226780	1	68
SRR3085689.134029	1	126
SRR3085693.15647	1	0
SRR3085696.152270	1	8
SRR3085700.36300	1	1
SRR3085691.65689	1	3
SRR3085690.197639	1	577
SRR3085691.33899	1	235
SRR3085689.72860	1	23
SRR3085693.32538	1	142
SRR3085689.17595	1	93
SRR3085688.63950	1	509
SRR3085691.12985	1	68
SRR3085701.7292	1	128
SRR3085688.32408	1	2
SRR3085692.78067	1	9
SRR3085690.19844	3	32
SRR3085689.104708	1	810
SRR3085698.11308	1	2
SRR3085690.111819	1	10
SRR3085695.37772	5	1
SRR3085694.109433	1	0
SRR3085692.66862	2	0
SRR3085692.282485	1	2
SRR3085694.92529	1	645
SRR3085689.102346	1	1
SRR3085690.180336	1	159
SRR3085690.165126	1	4
SRR3085694.16026	1	337
SRR3085700.101936	1	0
SRR3085696.134697	1	33
SRR3085693.51288	1	2690
SRR3085693.4726	1	56
SRR3085701.56966	16	0
SRR3085697.46049	1	329
SRR3085692.205645	1	51
SRR3085693.61487	1	0
SRR3085692.138355	1	6
SRR3085688.66496	1	0
SRR3085688.84164	2	0
SRR3085689.104202	4	0
SRR3085693.13107	1	544
SRR3085697.117038	1	255
SRR3085689.116485	1	32
SRR3085699.4286	1	545
SRR3085696.59574	1	4588
SRR3085692.65358	1	4
SRR3085701.116323	1	13
SRR3085692.72456	1	265
SRR3085690.192171	1	18
SRR3085694.109737	1	470
SRR3085692.152672	1	14
SRR3085689.14401	1	2
SRR3085691.139905	1	19
SRR3085693.69988	1	14
SRR3085692.133599	1	103
SRR3085696.53653	1	12
SRR3085691.35144	1	3
SRR3085700.29378	1	2735
SRR3085694.149252	1	18
SRR3085690.81556	1	45
SRR3085694.75457	1	0
SRR3085700.61992	1	152
SRR3085700.95918	1	9
SRR3085701.23731	1	2461
SRR3085692.204705	1	292
SRR3085693.41133	1	3348
SRR3085691.146471	1	0
SRR3085691.121465	1	3836
SRR3085692.106455	3	2
SRR3085690.153258	1	421
SRR3085698.24508	1	7
SRR3085698.176997	1	178
SRR3085694.11318	1	0
SRR3085697.105474	1	204
SRR3085696.140724	1	6
SRR3085694.29197	1	69
SRR3085690.20478	1	2
SRR3085692.214870	1	0
SRR3085690.9794	1	608
SRR3085701.90278	1	28
SRR3085692.299147	1	46
SRR3085694.127822	1	185
SRR3085696.83705	1	6
SRR3085689.29771	1	255
SRR3085696.89153	1	85
SRR3085701.120887	1	9
SRR3085696.145678	1	2
SRR3085694.118043	1	10
SRR3085691.123511	1	42
SRR3085690.110631	1	2
SRR3085689.41788	1	28
SRR3085691.20620	1	378
SRR3085697.25402	1	0
SRR3085688.111407	1	31
SRR3085689.168748	1	21
SRR3085689.98834	1	76
SRR3085700.84819	1	2729
SRR3085694.119411	1	2
SRR3085690.42483	1	130
SRR3085689.86088	3	1
SRR3085690.59565	1	35
SRR3085698.141274	1	226
SRR3085696.182962	1	0
SRR3085695.56137	14	165
SRR3085692.16379	1	3
SRR3085701.123776	1	14
SRR3085697.58236	1	0
SRR3085689.187635	1	61
SRR3085695.79439	1	14
SRR3085696.95363	1	0
SRR3085690.176657	1	3
SRR3085688.43279	1	3
SRR3085690.41047	1	92
SRR3085690.190083	1	5
SRR3085690.62042	1	1
SRR3085701.66110	1	17
SRR3085700.113948	1	8
SRR3085692.14156	1	37
SRR3085698.87545	1	9
SRR3085695.74935	1	3
SRR3085688.107979	1	6
SRR3085689.233172	1	0
SRR3085690.64873	1	4619
SRR3085693.101112	1	3
SRR3085694.130874	1	183
SRR3085694.75137	15	3
SRR3085688.112290	1	164
SRR3085695.94594	1	0
SRR3085689.200691	2	27
SRR3085692.12018	2	504
SRR3085691.150460	12	2
SRR3085692.77243	1	3
SRR3085692.99209	1	1
SRR3085692.236274	1	46
SRR3085695.90958	1	736
SRR3085692.261763	1	327
SRR3085693.121625	1	29
SRR3085701.40954	1	844
SRR3085694.84779	1	254
SRR3085694.114011	1	2
SRR3085695.114912	1	0
SRR3085698.180775	1	52
SRR3085699.68770	1	622
SRR3085694.142949	1	141
SRR3085692.1376	1	0
SRR3085696.143613	2	202
SRR3085691.143242	1	0
SRR3085691.78529	5	274
SRR3085696.124100	1	111
SRR3085690.235	1	74
SRR3085694.59093	1	1
SRR3085689.193140	1	2
SRR3085695.39195	1	1
SRR3085697.62600	1	4
SRR3085688.103632	1	5
SRR3085701.141962	1	187
SRR3085691.51001	1	67
SRR3085694.18475	6	1
SRR3085695.60299	1	547
SRR3085690.46195	1	34
SRR3085690.195552	1	179
SRR3085699.21878	5	0
SRR3085689.47753	1	17
SRR3085691.29244	1	177
SRR3085698.132789	1	1
SRR3085689.85845	4	7
SRR3085698.16981	1	261
SRR3085695.64075	1	0
SRR3085701.88335	1	4
SRR3085696.48845	61	2
SRR3085693.122650	1	21
SRR3085689.49536	1	18
SRR3085689.22133	1	0
SRR3085689.42207	1	3
SRR3085697.76580	1	33
SRR3085694.145873	1	176
SRR3085692.50029	1	15
SRR3085701.21821	1	140
SRR3085696.93482	1	16
SRR3085694.142148	1	1
SRR3085698.136318	8	1
SRR3085694.140372	1	1116
SRR3085691.163644	1	41
SRR3085689.216268	1	1
SRR3085696.6486	1	4
SRR3085697.445	1	0
SRR3085700.71773	1	2
SRR3085690.161476	1	2
SRR3085696.48617	1	20
SRR3085697.32120	1	48
SRR3085690.181283	1	4584
SRR3085691.105467	1	498
SRR3085701.40346	3	0
SRR3085690.56484	2	13
SRR3085692.166704	1	52
SRR3085694.90196	1	55
SRR3085688.69856	1	3965
SRR3085694.119162	1	28
SRR3085690.188724	1	573
SRR3085692.236088	1	54
SRR3085691.87776	1	5
SRR3085698.13164	1	1
SRR3085694.72517	1	3
SRR3085692.106625	1	10
SRR3085691.140776	1	131
SRR3085698.154813	1	34
SRR3085693.130956	71	472
SRR3085698.162115	1	267
SRR3085692.1851	8	82
SRR3085691.31967	1	157
SRR3085701.35128	1	52
SRR3085690.7071	1	28
SRR3085695.107473	1	30
SRR3085692.139761	1	0
SRR3085701.6190	1	0
SRR3085694.56011	1	2
SRR3085698.30841	1	240
SRR3085692.238549	1	0
SRR3085692.216618	1	37
SRR3085690.67008	1	288
SRR3085696.132492	1	23
SRR3085688.24155	1	0
SRR3085694.39153	1	0
SRR3085693.106370	1	72
SRR3085689.80632	1	3
SRR3085697.7574	1	5
SRR3085690.19307	1	2
SRR3085688.89699	4	4
SRR3085696.170465	1	215
SRR3085689.150368	1	14
SRR3085688.15089	1	6
SRR3085692.96386	1	636
SRR3085701.50471	1	226
SRR3085700.80001	1	30
SRR3085694.48724	1	4
SRR3085696.165293	1	0
SRR3085688.59327	1	2
SRR3085697.128159	1	11
SRR3085692.294678	1	19
SRR3085692.36712	1	0
SRR3085693.84437	1	153
SRR3085689.207032	1	40
SRR3085692.139969	1	3919
SRR3085696.67305	1	6
SRR3085689.67787	2	0
SRR3085692.216253	1	504
SRR3085691.132713	1	6
SRR3085693.120812	1	7
SRR3085697.77944	1	12
SRR3085690.56935	1	86
SRR3085700.101587	1	7
SRR3085701.116492	1	15
SRR3085693.116292	1	104
SRR3085698.123222	1	2709
SRR3085690.199055	1	40
SRR3085693.38584	1	0
SRR3085689.89862	1	2
SRR3085694.34747	1	25
SRR3085690.53957	1	15
SRR3085700.7771	1	235
SRR3085692.22665	4	550
SRR3085689.81409	17	7
SRR3085693.65590	1	3343
SRR3085688.98459	18	156
SRR3085692.26829	1	6
SRR3085693.26709	1	125
SRR3085689.214503	1	14
SRR3085690.169963	1	228
SRR3085692.176484	1	35
SRR3085688.28504	1	2
SRR3085697.33829	1	0
SRR3085692.48969	1	9
SRR3085689.71693	1	20
SRR3085693.76796	1	1
SRR3085695.79343	3	0
SRR3085701.67383	1	0
SRR3085697.107931	1	3
SRR3085694.2558	1	19
SRR3085695.101150	1	14
SRR3085690.213396	1	4607
SRR3085693.61391	1	60
SRR3085697.105832	1	31
SRR3085695.93788	1	36
SRR3085700.48784	1	328
SRR3085701.51966	1	0
SRR3085691.75071	1	0
SRR3085689.119939	1	91
SRR3085700.92760	1	6
SRR3085701.19142	1	8
SRR3085691.25645	1	0
SRR3085690.181094	1	160
SRR3085688.84819	1	512
SRR3085697.95840	2	4
SRR3085692.259920	1	3
SRR3085691.9919	1	6
SRR3085690.41088	1	5
SRR3085692.283829	1	3
SRR3085697.123757	1	219
SRR3085692.30998	1	422
SRR3085697.97433	1	0
SRR3085695.14367	1	0
SRR3085692.111989	1	2
SRR3085697.83735	1	14
SRR3085700.17035	1	10
SRR3085690.213775	1	597
SRR3085689.39815	3	1
SRR3085693.117972	1	3363
SRR3085690.130559	5	525
SRR3085692.30858	1	4
SRR3085694.122037	1	11
SRR3085694.92011	1	0
SRR3085690.195389	1	4418
SRR3085694.78113	1	84
SRR3085700.4800	1	185
SRR3085696.186385	1	30
SRR3085689.65554	1	141
SRR3085695.54915	28	275
SRR3085689.173801	1	840
SRR3085689.176886	1	3553
SRR3085701.79833	1	293
SRR3085695.113710	1	43
SRR3085695.80801	1	34
SRR3085696.162888	1	708
SRR3085692.131530	1	169
SRR3085692.215865	1	1
SRR3085692.243531	1	36
SRR3085694.73897	1	6
SRR3085689.160948	1	0
SRR3085695.96092	1	2
SRR3085696.96020	1	2
SRR3085689.97779	1	102
SRR3085696.129527	1	4
SRR3085694.62067	1	464
SRR3085699.75283	1	3830
SRR3085694.81706	1	186
SRR3085692.4011	1	9
SRR3085700.75913	1	27
SRR3085688.35646	1	1
SRR3085693.131084	1	295
SRR3085700.100530	1	130
SRR3085689.193403	4	0
SRR3085691.35051	1	4580
SRR3085697.68359	1	0
SRR3085692.3725	1	5
SRR3085701.158661	1	31
SRR3085699.46755	7	5
SRR3085692.159346	1	100
SRR3085698.143902	2	34
SRR3085692.58746	1	0
SRR3085696.23883	1	47
SRR3085691.49604	1	35
SRR3085698.124406	1	16
SRR3085689.75599	1	0
SRR3085692.72133	1	0
SRR3085700.30163	1	227
SRR3085698.45757	1	5
SRR3085693.3823	1	226
SRR3085688.103689	1	2
SRR3085700.22503	1	237
SRR3085701.151115	1	0
SRR3085690.185706	1	51
SRR3085695.1404	11	4621
SRR3085690.146642	1	5
SRR3085692.152042	1	11
SRR3085692.21296	1	1122
SRR3085696.17580	5	928
SRR3085695.112430	1	0
SRR3085690.99485	2	8
SRR3085689.112804	1	0
SRR3085696.155967	1	7
SRR3085694.27421	1	7
SRR3085689.215938	1	7
SRR3085690.196830	1	112
SRR3085696.58666	1	4664
SRR3085700.70560	1	154
SRR3085692.278559	1	422
SRR3085700.131765	1	5
SRR3085691.159320	1	4
SRR3085688.64577	1	1
SRR3085697.54493	1	60
SRR3085698.156848	1	13
SRR3085693.20995	1	44
SRR3085697.112371	1	6
SRR3085692.297016	1	4582
SRR3085694.115376	1	7
SRR3085691.67398	1	2640
SRR3085691.55010	11	1
SRR3085692.206057	9	5
SRR3085692.299627	1	0
SRR3085692.87449	1	64
SRR3085692.44611	1	220
SRR3085689.15290	1	2
SRR3085690.9485	1	1
SRR3085689.233973	1	0
